APS Year,Reporting Test,First Name,Second Name,Surname,READING_nb,WRITING_nb,SPELLING_nb,NUMERACY_nb,GRAMMAR & PUNCTUATION_nb,Class,Date of Birth,Gender,LBOTE,ATSI,Home School Name,Reporting School Name,Cases ID
2017,YR5P,JANE,,SMITH,340,558,617.4,380,446.5,5A,1/1/07,Female,No,No,00001-TEST SCHOOL,00001-TEST SCHOOL,SMI0001
2017,YR5P,JOHN,,JONES,388,489,529.3,478,525.5,5A,2/1/07,Male,Yes,No,00001-TEST SCHOOL,00001-TEST SCHOOL,JON0001
2017,YR5P,EDIT,,HENRY,477,402,419,523.7,631.6,5A,3/1/07,Female,Yes,Yes,00001-TEST SCHOOL,00001-TEST SCHOOL,HEN0001
2017,YR5P,Koa,,Mariazinha,423.6,415,430,659,658.2,5A,4/1/07,Female,No,No,00001-TEST SCHOOL,00001-TEST SCHOOL,MAR001
2017,YR5P,Bogdana,,Ignatz,500,768,492,710,703,5A,5/1/07,Female,Yes,No,00001-TEST SCHOOL,00001-TEST SCHOOL,IGN0001
2017,YR5P,Kristi,,Lidija,477,768,520,572,525.5,5A,6/1/07,Female,Yes,Yes,00001-TEST SCHOOL,00001-TEST SCHOOL,LID0001
2017,YR5P,Parsifal,,Margareeta,628,690,548,507.6,486.4,5A,7/1/07,Female,No,No,00001-TEST SCHOOL,00001-TEST SCHOOL,MAR0002
2017,YR5P,Candela,,Frigyes,590,620,559,637,486.4,5A,8/1/07,Female,Yes,No,00001-TEST SCHOOL,00001-TEST SCHOOL,FRI0001
2017,YR5P,Ortrun,,Lechosław,547.6,620,617,637,446.5,5A,9/1/07,Female,Yes,Yes,00001-TEST SCHOOL,00001-TEST SCHOOL,LEC0001
2017,YR5P,Zyanya,,Sophia,744,768,510.9,561,585.9,5A,10/1/07,Female,No,No,00001-TEST SCHOOL,00001-TEST SCHOOL,SOP0001
